

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
091.372  005.433  000.760: sourcing /home/stankovictab/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
100.490  000.184  000.184: require('nvim-treesitter.highlight')
100.545  009.092  008.908: require('stankovictab.specifics.treesitter')
102.062  000.241  000.241: require('gitsigns.async')
102.666  000.254  000.254: require('gitsigns.message')
102.769  000.689  000.436: require('gitsigns.config')
102.926  000.151  000.151: require('gitsigns.debug.log')
102.946  002.168  001.086: require('gitsigns')
106.047  000.186  000.186: require('lib.log')
106.244  000.187  000.187: require('deps.msgpack')
106.656  000.407  000.407: require('deps.serpent')
106.749  000.087  000.087: require('presence.file_explorers')
107.414  000.662  000.662: require('presence.file_assets')
107.641  000.219  000.219: require('presence.plugin_managers')
108.429  000.507  000.507: require('deps.struct')
108.499  000.854  000.347: require('presence.discord')
108.545  003.500  000.897: require('presence')
109.438  000.037  000.037: sourcing /home/stankovictab/.local/share/nvim/lazy/presence.nvim/autoload/presence.vim
110.767  005.776  002.239: sourcing /home/stankovictab/.local/share/nvim/lazy/presence.nvim/plugin/presence.vim
114.559  003.585  003.585: require('stankovictab.specifics.presence')
119.880  001.318  001.318: require('indent_blankline/utils')
119.901  003.904  002.586: require('indent_blankline')
121.641  000.165  000.165: require('indent_blankline.commands')
121.848  006.035  001.966: sourcing /home/stankovictab/.local/share/nvim/lazy/indent-blankline.nvim/plugin/indent_blankline.vim
122.282  000.361  000.361: require('stankovictab.specifics.indent-blankline')
124.278  000.925  000.925: require('nvim-treesitter-playground')
124.397  001.153  000.227: sourcing /home/stankovictab/.local/share/nvim/lazy/playground/plugin/nvim-treesitter-playground.lua
125.793  000.141  000.141: require('vim.treesitter.highlighter')
125.809  000.256  000.114: require('nvim-treesitter-playground.utils')
125.819  000.376  000.120: require('nvim-treesitter-playground.printer')
126.028  000.115  000.115: require('nvim-treesitter.locals')
126.036  000.211  000.096: require('nvim-treesitter-playground.query')
126.132  000.092  000.092: require('nvim-treesitter-playground.promise')
126.237  001.031  000.352: require('nvim-treesitter-playground.internal')
126.288  001.753  000.722: require('stankovictab.specifics.playground')
128.499  000.108  000.108: require('lualine_require')
129.000  001.555  001.447: require('lualine')
133.501  000.186  000.186: require('lualine.highlight')
142.154  000.138  000.138: require('lualine.utils.mode')
145.121  017.815  015.936: require('stankovictab.specifics.lualine')
146.214  000.110  000.110: sourcing /home/stankovictab/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
147.041  000.547  000.547: sourcing /home/stankovictab/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
148.440  000.109  000.109: require('telescope._extensions')
148.456  001.123  001.014: require('telescope')
148.969  000.090  000.090: require('plenary.bit')
149.068  000.089  000.089: require('plenary.functional')
149.107  000.377  000.198: require('plenary.path')
149.123  000.493  000.116: require('plenary.strings')
149.226  000.099  000.099: require('telescope.deprecated')
149.609  000.184  000.184: require('plenary.log')
149.655  000.305  000.121: require('telescope.log')
149.942  000.137  000.137: require('plenary.job')
150.026  000.077  000.077: require('telescope.state')
150.039  000.378  000.164: require('telescope.utils')
150.050  000.817  000.134: require('telescope.sorters')
153.857  005.394  003.985: require('telescope.config')
156.046  008.927  002.410: require('stankovictab.specifics.telescope')
157.624  000.089  000.089: require('scrollbar.const')
157.745  000.107  000.107: require('scrollbar.utils')
157.840  000.089  000.089: require('scrollbar.handlers')
157.851  001.391  001.106: require('scrollbar')
157.959  000.102  000.102: require('scrollbar.config')
158.825  000.138  000.138: require('scrollbar.handlers.cursor')
158.983  000.108  000.108: require('scrollbar.handlers.diagnostic')
159.072  002.787  001.047: require('stankovictab.specifics.nvim-scrollbar')
159.466  000.123  000.123: sourcing /home/stankovictab/.local/share/nvim/lazy/nvim-colorizer.lua/plugin/colorizer.lua
160.562  000.055  000.055: require('colorizer.color')
160.909  000.281  000.281: require('colorizer.trie')
164.540  000.316  000.316: require('colorizer.utils')
164.571  003.657  003.341: require('colorizer.parser.names')
164.682  000.106  000.106: require('colorizer.parser.rgb')
164.827  000.139  000.139: require('colorizer.parser.hsl')
164.922  000.089  000.089: require('colorizer.parser.argb_hex')
